Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,2640,2640,12,1.53144,1.9146,2.11903,-0.00609735,0,2.11904,3.39673
internalMesh,2641,2641,12,1.52855,1.91718,2.11638,-0.0181188,0,2.11646,3.41414
internalMesh,2642,2642,12,1.52552,1.92034,2.11378,-0.0301069,0,2.11399,3.43225
internalMesh,2643,2643,12,1.52315,1.9225,2.1115,-0.0416652,0,2.11191,3.44929
internalMesh,2644,2644,12,1.5211,1.92481,2.10968,-0.0525385,0,2.11033,3.46418
internalMesh,2645,2645,12,1.51989,1.92604,2.1084,-0.062563,0,2.10933,3.47645
internalMesh,2646,2646,12,1.51891,1.92747,2.10753,-0.0717221,0,2.10875,3.48577
internalMesh,2647,2647,12,1.51861,1.92796,2.10709,-0.0799989,0,2.10861,3.49388
internalMesh,2648,2648,12,1.51768,1.92965,2.10641,-0.0877701,0,2.10824,3.49908
internalMesh,2649,2649,12,1.5198,1.92817,2.10824,-0.0945033,0,2.11036,3.51006
internalMesh,2650,2650,12,0.873285,2.43054,1.24851,0.542971,0,1.36147,8.43596
internalMesh,2651,2651,12,0.895932,2.41512,1.29434,0.51311,0,1.39234,8.17108
internalMesh,2652,2652,12,0.92208,2.39572,1.34286,0.483367,0,1.42721,7.88056
internalMesh,2653,2653,12,0.949461,2.37512,1.39154,0.452466,0,1.46325,7.58421
internalMesh,2654,2654,12,0.976762,2.35398,1.43864,0.419718,0,1.49862,7.29605
internalMesh,2655,2655,12,1.00317,2.33295,1.4831,0.384932,0,1.53224,7.02437
internalMesh,2656,2656,12,1.02819,2.31296,1.52444,0.348253,0,1.56371,6.77289
internalMesh,2657,2657,12,1.05186,2.2936,1.56255,0.30999,0,1.593,6.54234
internalMesh,2658,2658,12,1.07412,2.27565,1.59758,0.270565,0,1.62033,6.33148
internalMesh,2659,2659,12,1.09536,2.25815,1.62981,0.230438,0,1.64602,6.13808
internalMesh,2660,2660,12,1.11563,2.24174,1.65952,0.190083,0,1.67037,5.95963
internalMesh,2661,2661,12,1.13526,2.22559,1.68697,0.149984,0,1.69362,5.79405
internalMesh,2662,2662,12,1.15418,2.2103,1.71235,0.110606,0,1.71592,5.63978
internalMesh,2663,2663,12,1.17252,2.19537,1.73578,0.0723845,0,1.73729,5.49606
internalMesh,2664,2664,12,1.19013,2.18119,1.75732,0.0357199,0,1.75768,5.36258
internalMesh,2665,2665,12,1.20701,2.16755,1.77703,0.000921348,0,1.77703,5.23954
internalMesh,2666,2666,12,1.22294,2.15488,1.79493,-0.0316405,0,1.79521,5.12705
internalMesh,2667,2667,12,1.2378,2.14304,1.81098,-0.0617147,0,1.81203,5.02577
internalMesh,2668,2668,12,1.25143,2.13247,1.82528,-0.0891442,0,1.82746,4.93572
internalMesh,2669,2669,12,1.26391,2.12273,1.83795,-0.113825,0,1.84147,4.85657
internalMesh,2670,2670,12,1.27507,2.11442,1.84911,-0.135724,0,1.85408,4.78777
internalMesh,2671,2671,12,1.28513,2.10677,1.85889,-0.154845,0,1.86533,4.72868
internalMesh,2672,2672,12,1.29394,2.10038,1.86742,-0.171256,0,1.87526,4.67875
internalMesh,2673,2673,12,1.30168,2.09462,1.87478,-0.185019,0,1.88389,4.63735
internalMesh,2674,2674,12,1.30822,2.08997,1.88105,-0.196151,0,1.89125,4.60422
internalMesh,2675,2675,12,1.31367,2.08605,1.88627,-0.204762,0,1.89735,4.57883
internalMesh,2676,2676,12,1.31799,2.08312,1.89054,-0.210765,0,1.90225,4.56127
internalMesh,2677,2677,12,1.32129,2.08091,1.8939,-0.214424,0,1.906,4.55016
internalMesh,2678,2678,12,1.32363,2.07949,1.89646,-0.216051,0,1.90873,4.54609
internalMesh,2679,2679,12,1.32538,2.0785,1.89857,-0.215731,0,1.91079,4.54684
internalMesh,2680,2680,12,1.32645,2.07804,1.9002,-0.213243,0,1.91213,4.55006
internalMesh,2681,2681,12,1.32667,2.07808,1.901,-0.209099,0,1.91247,4.55786
internalMesh,2682,2682,12,1.32629,2.07858,1.90131,-0.203278,0,1.91215,4.57247
internalMesh,2683,2683,12,1.32578,2.07915,1.90158,-0.196169,0,1.91167,4.58715
internalMesh,2684,2684,12,1.32523,2.07973,1.90184,-0.1884,0,1.91115,4.60235
